,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,城市,總樓層數_數字
1508,中和區,房地(土地+建物)+車位,新北市中和區中興街２１６號九樓之七,12.51,都市：其他:住宅區,,,1100710,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971009,113.96,2,2,1,有,有,16000000,140400,坡道平面,20.38,0,,RPRQMLMJQHGGFHF68DA,57.27,6.86,0.0,有,,Newtaipei,15
1511,永和區,房地(土地+建物)+車位,新北市永和區中正路２５７號十一樓,15.49,都市：其他:商業區,,,1100711,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930811,205.82,3,2,2,有,有,28380000,154216,坡道平面,47.73,4000000,陽台外推；其他增建；,RPXPMLNJQHGGFHF66DA,116.13,10.07,0.0,有,,Newtaipei,13
1513,三峽區,房地(土地+建物)+車位,新北市三峽區三樹路２７１號十樓,19.43,都市：其他:住宅區,,,1100622,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940609,150.58,4,2,2,有,有,15000000,104800,坡道機械,18.9,1200000,,RPSOMLQJQHGGFIF09DA,88.84,8.42,0.0,有,,Newtaipei,14
1520,中和區,房地(土地+建物),新北市中和區景平路７１之６號十七樓之一,2.63,都市：其他:住宅區,,,1100802,土地1建物1車位0,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861104,36.87,1,1,1,有,有,6600000,179007,,0.0,0,,RPSSMLRLQHGGFHF07DA,23.45,5.04,0.0,有,,Newtaipei,21
1534,三峽區,房地(土地+建物)+車位,新北市三峽區二鬮路１３６巷２０弄８９號五樓,54.86,,山坡地保育區,丙種建築用地,1100811,土地3建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830927,136.01,3,2,2,有,有,6000000,44114,坡道平面,0.0,0,陽台外推；,RPRNMLSKQHGGFIF56DA,79.87,13.23,0.0,有,,Newtaipei,13
1540,板橋區,房地(土地+建物)+車位,新北市板橋區文化路二段３８５之２號十樓,6.95,都市：其他:住宅區,,,1100727,土地1建物1車位1,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990209,91.96000000000001,2,2,1,有,有,15600000,199941,坡道平面,23.94,2000000,,RPRPMLRLQHGGFAF68EA,38.37,7.9,0.0,有,,Newtaipei,21
1542,土城區,房地(土地+建物),新北市土城區明德路一段１號七樓,11.62,都市：其他:道路用地,,,1100801,土地2建物1車位0,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880913,113.06,3,2,2,有,有,12000000,106138,,0.0,0,其他增建；,RPWPMLRLQHGGFAF56EA,80.96,2.68,0.0,有,,Newtaipei,18
1543,土城區,房地(土地+建物),新北市土城區福安街８０之１０號十樓,15.94,都市：其他:道路用地,,,1100623,土地2建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921126,109.59,3,2,2,有,有,10460000,95447,,0.0,0,陽台外推；其他增建；,RPXPMLRLQHGGFAF66EA,67.53,12.34,0.0,有,,Newtaipei,13
1545,板橋區,房地(土地+建物),新北市板橋區民生路三段３１５號三十樓之７,1.67,都市：其他:道路用地,,,1100725,土地2建物1車位0,三十層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,51.050000000000004,1,1,1,有,有,8260000,161834,,0.0,0,陽台外推；夾層；,RPQNMLKMQHGGFAF77EA,34.71,2.81,0.0,有,,Newtaipei,37
1547,新莊區,房地(土地+建物),新北市新莊區中平路８２巷２５號六樓之三,7.15,都市：其他:市場用地,,,1100730,土地3建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901106,64.58,2,1,1,有,有,8680000,134407,,0.0,0,,RPSPMLRLQHGGFBF88EA,43.67,4.23,0.0,有,,Newtaipei,14
